,DATE,Vms,Ta,RH,VPDhpa,SVWC30cm,Rn,PPFD,Rainfall,Month,Day,year,time,DOY,Cof,G,GPPob,LE,SIF
1,2024-1-1,2,3.718,46.9044,4.23526,39.6,375.225,582.955,0,1,1,2024,9,1,420,50,0.34027,50,0.14179
2,2024-1-1,2,3.835,49.6721,4.04781,39.6,456.718,728.442,0,1,1,2024,9.5,1,420,50,0.35213,50,0.14324
3,2024-1-1,2,4.636,51.2327,4.14973,39.6,528.766,861.157,0,1,1,2024,10,1,420,50,0.36001,50,0.15085
4,2024-1-1,2,5.159,52.1083,4.22715,39.6,579.117,957.452,0,1,1,2024,10.5,1,420,50,0.3645,50,0.14617
5,2024-1-1,2,5.284,49.9402,4.45723,39.6,617.881,1035.47,0,1,1,2024,11,1,420,50,0.36752,50,0.14899
6,2024-1-1,2,4.938,50.8385,4.27271,39.6,650.767,1108.41,0,1,1,2024,11.5,1,420,50,0.36984,50,0.15016
7,2024-1-1,2,5.821,48.2082,4.78706,39.6,651.394,1121.61,0,1,1,2024,12,1,420,50,0.36988,50,0.1396
8,2024-1-1,2,5.493,50.1223,4.50618,39.6,626.638,1087.43,0,1,1,2024,12.5,1,420,50,0.36816,50,0.14683
9,2024-1-1,2,5.32,49.6344,4.49573,39.6,594.62,1043.45,0,1,1,2024,13,1,420,50,0.36575,50,0.14453
10,2024-1-1,2,5.777,48.0397,4.78798,39.6,544.442,964.786,0,1,1,2024,13.5,1,420,50,0.36148,50,0.14862
11,2024-1-1,2,6.354,46.4172,5.13893,39.6,479.939,867.698,0,1,1,2024,14,1,420,50,0.35489,50,0.15376
12,2024-1-1,2,6.683,46.1377,5.28442,39.6,402.304,739.045,0,1,1,2024,14.5,1,420,50,0.34465,50,0.13322
13,2024-1-1,2,6.675,46.9551,5.20136,39.6,316.696,594.164,0,1,1,2024,15,1,420,50,0.32879,50,0.12266
14,2024-1-1,2,6.339,49.4954,4.83869,39.6,224.556,432.995,0,1,1,2024,15.5,1,420,50,0.30201,50,0.11121
15,2024-1-2,2,4.138,48.7638,4.20986,39.4,49.6365,105.493,0.2,1,2,2024,9.5,2,420,50,0.152,50,0.03495
16,2024-1-2,2,3.274,56.6804,3.34851,39.4,56.963,113.993,0.4,1,2,2024,10,2,420,50,0.16558,50,0.03077
17,2024-1-2,2,2.475,68.1562,2.32537,39.4,59.9524,118.243,0.3,1,2,2024,10.5,2,420,50,0.17073,50,0.03524
18,2024-1-2,2,0.979,94.1886,0.38111,39.4,58.3601,115.601,0.7,1,2,2024,11,2,420,50,0.16801,50,0.03863
19,2024-1-2,2,1.16,92.4001,0.50496,39.4,90.4189,171.487,0.5,1,2,2024,13,2,420,50,0.21336,50,0.04788
20,2024-1-2,2,1.686,92.4082,0.52391,39.4,65.5753,126.8,1.3,1,2,2024,14,2,420,50,0.17988,50,0.04101
21,2024-1-3,2,0.61,49.5175,3.22329,39.5,404.712,610.201,0,1,3,2024,9,3,420,50,0.32122,50,0.1509
22,2024-1-3,2,1.086,46.1199,3.56087,39.5,497.459,773.628,0,1,3,2024,9.5,3,420,50,0.33419,50,0.14902
23,2024-1-3,2,1.574,44.9814,3.76636,39.5,572.161,910.971,0,1,3,2024,10,3,420,50,0.34219,50,0.15699
24,2024-1-3,2,2.21,41.4753,4.1935,39.5,631.876,1022.98,0,1,3,2024,10.5,3,420,50,0.34743,50,0.1455
25,2024-1-3,2,2.473,41.0217,4.30623,39.5,679.419,1115.81,0,1,3,2024,11,3,420,50,0.35096,50,0.14439
26,2024-1-3,2,2.65,41.2618,4.34322,39.5,709.342,1177.19,0,1,3,2024,11.5,3,420,50,0.35266,50,0.14971
27,2024-1-3,2,2.834,37.0724,4.71441,39.5,707.323,1183.89,0,1,3,2024,12,3,420,50,0.35143,50,0.15076
28,2024-1-3,2,2.953,37.3807,4.73121,39.5,684.471,1159.63,0,1,3,2024,12.5,3,420,50,0.34819,50,0.15794
29,2024-1-3,2,3.238,38.6145,4.73286,39.5,647.468,1111.73,0,1,3,2024,13,3,420,50,0.34327,50,0.15593
30,2024-1-3,2,3.387,38.0685,4.82569,39.5,596.874,1037.74,0,1,3,2024,13.5,3,420,50,0.33631,50,0.17253
31,2024-1-3,2,3.491,38.2406,4.84786,39.5,533.183,941.351,0,1,3,2024,14,3,420,50,0.32671,50,0.17077
32,2024-1-3,2,3.748,38.1342,4.9453,39.5,452.882,817.134,0,1,3,2024,14.5,3,420,50,0.31272,50,0.14602
33,2024-1-3,2,3.768,36.4234,5.08925,39.5,364.09,673.553,0,1,3,2024,15,3,420,50,0.29352,50,0.13423
34,2024-1-3,2,3.759,44.3811,4.44941,39.5,256.443,490.14,0,1,3,2024,15.5,3,420,50,0.26193,50,0.13298
35,2024-1-4,2,3.263,49.7862,3.87839,39.5,372.008,569.444,0,1,4,2024,9,4,420,50,0.23606,50,0.08471
36,2024-1-4,2,4.401,48.1419,4.34053,39.5,537.338,884.287,0,1,4,2024,10.5,4,420,50,0.27229,50,0.12272
37,2024-1-4,2,5.821,41.4849,5.40849,39.5,716.84,1179.36,0,1,4,2024,11,4,420,50,0.30496,50,0.10178
38,2024-1-4,2,6.575,35.9671,6.23563,39.5,619.092,1044.59,0,1,4,2024,12,4,420,50,0.28517,50,0.07434
39,2024-1-4,2,7.211,33.82,6.7331,39.5,653.839,1123.49,0,1,4,2024,12.5,4,420,50,0.29062,50,0.07728
40,2024-1-4,2,7.39,36.8994,6.49912,39.5,674.11,1178.2,0,1,4,2024,13,4,420,50,0.29325,50,0.08737
41,2024-1-4,2,8.143,27.7217,7.83747,39.5,605.722,1076.7,0,1,4,2024,13.5,4,420,50,0.27889,50,0.13404
42,2024-1-4,2,7.784,26.189,7.81002,39.5,518.648,941.706,0,1,4,2024,14,4,420,50,0.25859,50,0.12568
43,2024-1-4,2,7.276,30.6161,7.09063,39.5,432.954,803.111,0,1,4,2024,14.5,4,420,50,0.2355,50,0.12194
44,2024-1-4,2,7.478,29.7802,7.27612,39.5,345.54,657.017,0,1,4,2024,15,4,420,50,0.208,50,0.0894
45,2024-1-4,2,7.003,34.296,6.58983,39.5,249.232,486.753,0,1,4,2024,15.5,4,420,50,0.1717,50,0.09495
46,2024-1-5,2,6.62,41.3225,5.73188,39.3,334.439,569.768,0,1,5,2024,10,5,420,50,0.20278,50,0.04303
47,2024-1-5,2,7.088,39.8179,6.07137,39.3,451.239,768.986,0,1,5,2024,10.5,5,420,50,0.25246,50,0.10051
48,2024-1-5,2,8.115,39.3615,6.56278,39.3,609.219,1046.44,0,1,5,2024,11,5,420,50,0.30809,50,0.09853
49,2024-1-5,2,9.061,37.997,7.15544,39.3,670.536,1157.89,0,1,5,2024,11.5,5,420,50,0.32916,50,0.08452
50,2024-1-5,2,9.329,37.2748,7.37099,39.3,649.015,1138.09,0,1,5,2024,12,5,420,50,0.32645,50,0.10102
51,2024-1-5,2,9.491,36.643,7.52699,39.3,627.322,1113.02,0,1,5,2024,12.5,5,420,50,0.3234,50,0.10217
52,2024-1-5,2,8.827,36.5974,7.20201,39.3,595.077,1067.08,0,1,5,2024,13,5,420,50,0.31671,50,0.1141
53,2024-1-5,2,8.626,35.0768,7.27492,39.3,551.178,998.59,0,1,5,2024,13.5,5,420,50,0.30545,50,0.12597
54,2024-1-5,2,8.856,39.0302,6.93928,39.3,489.339,898.449,0,1,5,2024,14,5,420,50,0.28634,50,0.13209
55,2024-1-5,2,9.34,41.4122,6.88991,39.3,409.698,766.401,0,1,5,2024,14.5,5,420,50,0.25718,50,0.11139
56,2024-1-5,2,8.932,40.5368,6.80272,39.3,328.294,629.579,0,1,5,2024,15,5,420,50,0.22228,50,0.10789
57,2024-1-5,2,8.559,37.2512,6.99937,39.3,239.597,477.043,0,1,5,2024,15.5,5,420,50,0.17695,50,0.09464
58,2024-1-6,2,7.118,18.5286,8.23607,39.1,95.2027,160.477,0,1,6,2024,9,6,420,50,0.10964,50,0.0322
59,2024-1-6,2,7.377,20.5136,8.17951,39.1,152.73,255.548,0,1,6,2024,9.5,6,420,50,0.16687,50,0.03228
60,2024-1-6,2,7.344,22.3739,7.97002,39.1,278.237,466.478,0,1,6,2024,10,6,420,50,0.27165,50,0.04842
61,2024-1-6,2,7.179,22.7647,7.84062,39.1,465.068,788.304,0,1,6,2024,10.5,6,420,50,0.39151,50,0.13961
62,2024-1-6,2,7.299,22.4754,7.93507,39.1,623.577,1054.31,0,1,6,2024,11,6,420,50,0.47111,50,0.13797
63,2024-1-6,2,7.487,22.4742,8.03811,39.1,658.205,1124.84,0,1,6,2024,11.5,6,420,50,0.48912,50,0.11101
64,2024-1-6,2,7.447,22.3587,8.02806,39.1,660.223,1139.88,0,1,6,2024,12,6,420,50,0.49337,50,0.11973
65,2024-1-6,2,7.508,24.8133,7.8068,39.1,643.692,1121.42,0,1,6,2024,12.5,6,420,50,0.48977,50,0.1316
66,2024-1-6,2,7.628,26.9141,7.65126,39.1,613.826,1080.82,0,1,6,2024,13,6,420,50,0.47999,50,0.12664
67,2024-1-6,2,7.948,22.6189,8.27998,39.1,572.54,1019.73,0,1,6,2024,13.5,6,420,50,0.46405,50,0.13502
68,2024-1-6,2,8.371,21.5679,8.63775,39.1,513.241,929.489,0,1,6,2024,14,6,420,50,0.43733,50,0.13529
69,2024-1-6,2,8.227,21.247,8.58853,39.1,439.279,807.412,0,1,6,2024,14.5,6,420,50,0.39885,50,0.12827
70,2024-1-6,2,8.384,22.063,8.59081,39.1,348.352,652.694,0,1,6,2024,15,6,420,50,0.34307,50,0.10938
71,2024-1-6,2,7.801,27.7168,7.65725,39.1,248.539,473.732,0,1,6,2024,15.5,6,420,50,0.26931,50,0.07911
72,2024-1-7,2,3.153,30.3901,5.33468,39,217.884,355.567,0,1,7,2024,9,7,420,50,0.24171,50,0.06373
73,2024-1-7,2,3.617,30.6518,5.49231,39,439.599,703.17,0,1,7,2024,9.5,7,420,50,0.40956,50,0.11971
74,2024-1-7,2,3.932,30.9511,5.59167,39,516.4,847.342,0,1,7,2024,10,7,420,50,0.45607,50,0.11497
