Var1,Year,DoY,Hour,Tair,Rh,Tsoil,Rg,PPFD,H,LE,NEE,Ustar,VPD,GPP_DT,VWC_mean,CO2_mean,H2O_mean
1,2019,299,0.5,9.6419,91.7258,16.6755,-27.5282,2.02905,NA,NA,NA,NA,0.99303,-0.267813679198549,26,438.3415454,8.292420687
2,2019,299,1,9.4934,94.9209,16.6089,-26.027,1.97955,NA,NA,NA,NA,0.60351,-0.239014954100028,26,NaN,NaN
3,2019,299,1.5,9.3243,95.4688,16.5451,-23.4278,1.97955,NA,NA,NA,NA,0.53231,0.352784421663147,26,NaN,NaN
4,2019,299,2,9.4468,93.8556,16.4867,-22.5995,2.4744,NA,NA,NA,NA,0.7278,-0.246575048049585,25.9,NaN,NaN
5,2019,299,2.5,9.5982,90.4834,16.4353,-23.5206,2.4579,NA,NA,NA,NA,1.1388,-0.164557822779295,26.1,NaN,NaN
6,2019,299,3,9.629,92.7181,16.3828,-21.2783,1.97955,NA,NA,NA,NA,0.87319,-0.159549883407871,25.9,NaN,NaN
7,2019,299,3.5,9.4164,95.917,16.3311,-29.7807,2.21055,NA,NA,NA,NA,0.48264,-0.542021313196778,25.9,NaN,NaN
8,2019,299,4,9.1,97.1598,16.2795,-45.8669,2.09505,NA,NA,NA,NA,0.32864,-1.11351033088838,26.1,NaN,NaN
9,2019,299,4.5,8.7583,97.9337,16.2226,-58.6333,2.0457,NA,NA,NA,NA,0.23363,-0.590008205911564,25.9,NaN,NaN
10,2019,299,5,8.5896,98.3925,16.1488,-55.6351,1.99635,NA,NA,NA,NA,0.17968,-0.607396073527523,25.8,NaN,NaN
11,2019,299,5.5,8.3758,98.4746,16.056,-67.9791,2.17785,NA,NA,NA,NA,0.16805,0.391469354478353,25.9,NaN,NaN
12,2019,299,6,8.0003,98.8879,15.956,-58.8489,2.12865,NA,NA,NA,NA,0.11942,-0.802595346777876,26,NaN,NaN
13,2019,299,6.5,7.5429,99.5137,15.8443,-53.3626,3.0198,NA,NA,NA,NA,0.050619,-1.12936451144843,26,NaN,NaN
14,2019,299,7,7.1264,99.9657,15.73,-53.577,4.9671,NA,NA,NA,NA,0.0034654,-1.2982568570844,26,NaN,NaN
15,2019,299,7.5,7.356,99.9919,15.6204,-42.3413,31.15665,NA,NA,NA,NA,0.00083541,-1.87142426633241,25.9,NaN,NaN
16,2019,299,8,7.3583,99.9989,15.5179,1.6569,82.00605,NA,NA,NA,NA,0.00011716,2.09403416872701,25.9,NaN,NaN
17,2019,299,8.5,8.0343,99.9977,15.4392,30.145,129.9231,NA,NA,NA,NA,0.00024648,2.29754652075779,25.8,NaN,NaN
18,2019,299,9,8.4199,99.9603,15.4251,40.3076,167.2629,NA,NA,NA,NA,0.0043823,1.87531777578804,26,NaN,NaN
19,2019,299,9.5,8.7883,98.4416,15.4666,82.8204,267.4962,NA,NA,NA,NA,0.17656,1.45340091688725,26.2,NaN,NaN
20,2019,299,10,9.5843,94.5597,15.5522,148.4313,400.9674,NA,NA,NA,NA,0.65039,10.4819949649073,26,NaN,NaN
21,2019,299,10.5,10.4192,86.5775,15.7008,141.148,397.15815,NA,NA,NA,NA,1.6971,15.283770123192,26,NaN,NaN
22,2019,299,11,11.1983,78.8492,15.8977,248.5753,612.87945,NA,NA,NA,NA,2.8168,-4.29483290108039,26,NaN,NaN
23,2019,299,11.5,12.3836,74.8351,16.1339,281.5353,685.242,NA,NA,NA,NA,3.6246,1.27250486378013,25.9,NaN,NaN
24,2019,299,12,13.2822,70.7955,16.4545,309.3871,753.7938,NA,NA,NA,NA,4.4617,2.17792881518291,26,NaN,NaN
25,2019,299,12.5,13.7917,66.9277,16.8248,280.4379,704.01045,NA,NA,NA,NA,5.2232,1.8939718746541,26.1,NaN,NaN
26,2019,299,13,14.6846,58.1617,17.1953,376.5764,899.44575,NA,NA,NA,NA,7.0014,4.03072639969694,25.9,NaN,NaN
27,2019,299,13.5,15.1642,54.6329,17.5689,351.4445,876.1458,NA,NA,NA,NA,7.8303,3.56467964085584,25.9,NaN,NaN
28,2019,299,14,15.7067,51.6225,17.9545,379.132,947.9508,NA,NA,NA,NA,8.6458,4.24031563152452,25.8,NaN,NaN
29,2019,299,14.5,16.1663,48.4197,18.3501,291.4832,785.9736,NA,NA,NA,NA,9.4931,1.95342700201928,25.9,NaN,NaN
30,2019,299,15,16.3918,47.8113,18.7158,272.2715,729.9906,NA,NA,NA,NA,9.7442,2.13855104976122,26,NaN,NaN
31,2019,299,15.5,16.2415,46.1133,19.0104,124.927,443.45565,NA,NA,NA,NA,9.9653,2.7807132966304,26,NaN,NaN
32,2019,299,16,16.2441,44.7593,19.2053,113.1017,399.6378,NA,NA,NA,NA,10.2174,3.55819925890162,25.9,NaN,NaN
33,2019,299,16.5,15.9399,46.9867,19.28,45.0707,253.5087,NA,NA,NA,NA,9.6168,3.37366245604909,25.9,NaN,NaN
34,2019,299,17,15.5128,49.5126,19.2879,4.0026,151.7202,NA,NA,NA,NA,8.9114,4.36852242213008,25.9,NaN,NaN
35,2019,299,17.5,14.9212,55.2457,19.2388,-26.0933,85.80855,NA,NA,NA,NA,7.6046,0.954191979841218,26,NaN,NaN
36,2019,299,18,13.8979,63.7336,19.1484,-51.401,24.7557,NA,NA,NA,NA,5.7674,-2.15938858637045,25.9,NaN,NaN
37,2019,299,18.5,12.558,76.3166,19.0241,-55.6436,4.4016,NA,NA,NA,NA,3.4506,2.59483673512422,25.9,NaN,NaN
38,2019,299,19,11.5306,87.9297,18.8624,-54.4459,4.0728,NA,NA,NA,NA,1.6433,0.963136386944016,26.2,NaN,NaN
39,2019,299,19.5,10.8776,89.8162,18.6771,-58.2069,3.3147,NA,NA,NA,NA,1.3276,-1.09848727754373,25.9,NaN,NaN
40,2019,299,20,10.579,89.8396,18.4856,-55.2008,3.2166,NA,NA,NA,NA,1.2985,-0.697354103777217,25.9,NaN,NaN
41,2019,299,20.5,10.3853,90.8578,18.2876,-55.1699,2.9694,NA,NA,NA,NA,1.1533,-0.575786879236951,26,NaN,NaN
42,2019,299,21,10.1482,90.5337,18.0858,-52.95,3.10125,NA,NA,NA,NA,1.1754,-0.818099877654673,26.1,NaN,NaN
43,2019,299,21.5,9.8051,91.8069,17.8944,-54.0769,2.59005,NA,NA,NA,NA,0.99416,-1.15110807182127,26,NaN,NaN
44,2019,299,22,9.7081,91.7826,17.7176,-50.5301,2.52435,NA,NA,NA,NA,0.99063,-1.1669795071184,25.9,NaN,NaN
45,2019,299,22.5,9.5091,93.3482,17.5481,-55.5767,2.24385,NA,NA,NA,NA,0.79121,-1.27712437183099,26,NaN,NaN
46,2019,299,23,9.254,94.6954,17.3861,-61.9273,2.21085,NA,NA,NA,NA,0.62021,-0.437043637646682,25.9,NaN,NaN
47,2019,299,23.5,9.0327,95.0723,17.2255,-58.7672,2.211,NA,NA,NA,NA,0.5676,-1.28349997090208,26,NaN,NaN
48,2019,300,0,8.4832,96.7227,17.0668,-63.692,2.27715,NA,NA,NA,NA,0.36369,0.0906807746262261,26,NaN,NaN
49,2019,300,0.5,8.0264,98.0576,16.9075,-59.0277,2.3433,NA,NA,NA,NA,0.20896,-0.844098115360858,25.8,NaN,NaN
50,2019,300,1,8.2529,98.2788,16.7447,-54.5892,2.0133,NA,NA,NA,NA,0.18804,-0.741682068724811,26,NaN,NaN
