id,日期,月份,SIF,SIFfull,GPPob,GPPdaily,
1,3月12日,3,2.44189,38.93854,2.67628,2.75816,
2,3月13日,3,3.89618,69.89194,3.7448,4.95739,
3,3月14日,3,3.03126,44.44964,3.21054,4.17167,
4,3月15日,3,2.2628,35.65734,3.34262,3.85295,
5,3月16日,3,1.611776,26.50362,2.29243,3.31562,
6,3月17日,3,0.57311,9.76726,0.9565,0.58251,
7,3月18日,3,0.94209,15.47515,1.24305,1.05333,
8,3月19日,3,1.517813,23.80328,3.1517,2.43591,
9,3月20日,3,1.23973,16.80902,2.12017,1.86048,
10,3月21日,3,0.4193,6.23359,0.65642,0.79045,
11,3月22日,3,0.20112,3.00766,0.46888,0.40076,
12,3月23日,3,0.009248,0.16069,0.07691,0.00993,
13,3月24日,3,1.692688,26.56221,2.21577,2.10323,
14,3月25日,3,1.61625,26.04319,2.37588,2.1635,
15,3月26日,3,1.98194,31.74305,2.51913,2.25112,
16,3月27日,3,1.57766,29.52846,3.38231,3.13199,
17,3月28日,3,1.75332,30.65376,3.35821,3.18944,
18,3月29日,3,1.22314,17.45566,2.26983,2.43068,
19,3月30日,3,1.02734,15.16493,1.89216,1.91965,
20,3月31日,3,0.70166,11.01188,1.45234,1.45047,
21,4月1日,4,1.85573,28.81153,3.65946,3.50321,
22,4月2日,4,2.76619,50.94042,4.837,4.73996,
23,4月3日,4,0.10904,1.23169,0.14028,0.14936,
24,4月9日,4,0.03415,0.51163,0.11408,0.02677,
25,4月11日,4,2.52749,38.49303,3.36226,4.0797,
26,4月12日,4,2.43162,38.65371,3.04818,3.79148,
27,4月14日,4,0.67467,11.57647,0.95616,1.75704,
28,4月15日,4,4.73488,81.06642,5.93085,7.63644,
29,4月17日,4,4.96159,76.58922,2.47678,3.23164,
30,4月19日,4,4.15868,61.84004,4.74473,5.46572,
31,4月20日,4,5.70643,88.76732,5.12109,4.88139,
32,4月21日,4,4.71578,67.33989,5.00907,6.56547,
33,4月22日,4,1.0571,17.73367,1.51007,2.80749,
34,4月23日,4,0.698033,10.96749,1.75442,1.20486,
35,4月24日,4,1.469174,21.14069,2.84836,2.35476,
36,4月25日,4,1.471365,22.95638,2.48821,2.6334,
37,4月26日,4,4.51354,72.09818,5.85838,7.17927,
38,4月27日,4,2.01432,32.53165,2.72107,4.13527,
39,4月28日,4,2.02259,33.25325,4.38848,5.57722,
40,4月30日,4,4.88113,75.89299,5.79427,6.90747,
41,5月1日,5,7.52843,111.55365,6.68252,6.74229,
42,5月2日,5,2.92265,45.11722,5.21625,5.62302,
43,5月3日,5,0.10241,1.30778,0.44868,0.12287,
44,5月4日,5,0.58842,6.87057,1.60838,0.95168,
45,5月5日,5,2.31933,36.70179,3.21384,3.48877,
46,5月6日,5,3.01438,53.3953,5.28504,7.26177,
47,5月7日,5,3.378,58.06824,4.79364,5.73911,
48,5月8日,5,4.40455,69.52605,6.36128,7.37862,
49,5月9日,5,7.43108,110.23345,7.79001,10.04676,
50,5月10日,5,0.95062,16.86542,1.06917,2.77153,
51,5月11日,5,1.2709,22.38497,2.20905,3.23968,
52,5月12日,5,3.95015,64.64929,5.15605,5.76949,
53,5月13日,5,4.49644,71.71493,6.3434,7.50209,
54,5月14日,5,6.2028,104.58514,6.64999,7.93466,
55,5月15日,5,2.77558,50.38375,2.64071,4.12923,
56,5月16日,5,1.48193,23.63854,2.53729,3.25938,
57,5月18日,5,5.5299,86.77878,6.05681,7.64265,
58,5月19日,5,3.40864,54.15415,4.55135,5.28026,
59,5月20日,5,4.60983,70.7064,5.96762,6.80122,
60,5月21日,5,1.69972,25.63304,3.00285,3.29787,
61,5月22日,5,2.70294,42.64343,4.40801,5.0655,
62,5月23日,5,4.32202,71.05938,6.21215,7.67101,
63,5月25日,5,2.82553,46.65086,4.41397,5.09638,
64,5月26日,5,0.281838,4.91534,0.70665,0.63405,
65,5月27日,5,1.32241,21.3117,2.54483,2.57244,
